"99ac2bb6-bb5d-4dfa-b889-a870f42f077a","138646","","Gerygone","chrysogaster","chrysogaster","145.3336111111","-5.7425","2016-04-12"
"ada0442f-acf8-4fde-bc71-51fb026d8a8f","138647","","Sericornis","nouhuysi","stresemanni","145.1505555556","-5.8158333333","2016-04-08"
"21f630e6-bba8-4411-a773-a94afc24f023","138648","","Sericornis","nouhuysi","stresemanni","145.1505555556","-5.8158333333","2016-04-11"
"fee9f8ac-5a72-48ab-b5b8-1fcd8c25ffc2","138649","","Sericornis","nouhuysi","stresemanni","145.0722222222","-5.805","2016-04-06"
"c86dfe18-4e99-4529-89bc-d1c20f440d4c","138650","","Sericornis","nouhuysi","stresemanni","145.1983333333","-5.7625","2016-04-12"
"6199ad41-fe22-473f-994e-2bf057cbeedf","138651","","Sericornis","nouhuysi","stresemanni","145.1505555556","-5.8158333333","2016-04-08"
"21c1c9ed-d815-4c33-bd0e-c06e86b9e037","138652","","Sericornis","nouhuysi","stresemanni","145.1505555556","-5.8158333333","2016-04-11"
"50c87c37-568a-4b10-a2f7-2254c577cc5f","138653","","Sericornis","nouhuysi","stresemanni","145.1505555556","-5.8158333333","2016-04-08"
"641a00d5-9d03-47dd-857e-3865c96ad48c","138654","","Sericornis","nouhuysi","stresemanni","145.1983333333","-5.7625","2016-04-12"
"5378dc89-4268-415e-aa6d-4d8d8e7e124f","138655","","Acanthiza","murina","","145.0588888889","-5.7861111111","2017-04-24"
"d84e359c-ad36-44bf-b51e-5d19caf45db4","138656","","Meliphaga","montana","","145.2713888889","-5.7216666667","2016-04-12"
"2712e421-195f-4187-9e7f-32fcdb47b8b7","138657","","Meliphaga","aruensis","sharpei","145.3336111111","-5.7425","2016-04-12"
"fc05341a-a233-4fa5-bda1-cb213f701c59","138658","","Xanthotis","polygrammus","septentrionalis","145.2713888889","-5.7216666667","2016-04-12"
"ae606e22-2033-4f73-888a-9a079b4398b2","138659","","Xanthotis","polygrammus","septentrionalis","145.2713888889","-5.7216666667","2016-04-12"
"2237a3f9-392d-4bec-baaa-d1cd1d190c88","138660","","Plesiodryas","albonotata","griseiventris","145.1505555556","-5.8158333333","2016-04-08"
"7c3d4024-fa32-4a41-a6d8-36138aa7503f","138661","","Ptilorrhoa","leucosticta","loriae","145.1983333333","-5.7625","2016-04-11"
"b6700703-7568-421f-9566-6ccac9e1e87e","138662","","Melanorectes","nigrescens","burgersi","145.1983333333","-5.7625","2016-04-11"
"14a75e69-a4ef-47f2-b6a2-3b4031acc447","138663","","Melanorectes","nigrescens","burgersi","145.1983333333","-5.7625","2016-04-11"
"d68e52b1-97db-49ce-b5d5-8112b94f2c05","138664","","Amblyornis","macgregoriae","kombok","145.1983333333","-5.7625","2016-04-12"
"c5b2a863-eedd-45c5-bf05-9513cd012d16","138665","","Amblyornis","macgregoriae","kombok","145.1983333333","-5.7625","2016-04-11"
"9233688b-684e-4d28-93db-3429cc172674","138666","","Symposiachrus","manadensis","","145.3336111111","-5.7425","2016-04-12"
"c4a11dd1-242f-42f3-9f1f-2eb8b7c0d4b7","138667","","Symposiachrus","guttula","","145.3336111111","-5.7425","2016-04-12"
"a4111115-213d-4064-8f9e-b8233b8738bf","138668","","Symposiachrus","guttula","","145.3336111111","-5.7425","2016-04-12"
"6ac02fdc-4200-4f69-a05e-5183b9fff1a9","138669","","Aleadryas","rufinucha","niveifrons","145.0588888889","-5.7861111111","2017-04-24"
"ba0f0752-755d-4122-9773-082c34d84b67","138670","","Rhagologus","leucostigma","obscurus","145.1983333333","-5.7625","2016-04-12"
"fb806aea-6374-4458-8092-d3380095b2f1","138671","","Rhagologus","leucostigma","obscurus","145.1983333333","-5.7625","2016-04-11"
"134687f9-3fcf-4254-9d76-a67b266530db","138672","","Symposiachrus","axillaris","fallax","145.1983333333","-5.7625","2016-04-11"
"0af64ecc-cd2b-4c0b-88bd-602cba8e22b8","138673","","Rhipidura","atra","atra","145.1983333333","-5.7625","2016-04-11"
"2a20a477-a6e5-4370-837a-910d9cd2a108","138674","","Rhipidura","atra","atra","145.1505555556","-5.8158333333","2016-04-11"
"a6a2436a-a40d-48d7-ba54-d2a298996d36","138675","","Rhipidura","atra","atra","145.1505555556","-5.8158333333","2016-04-08"
"3d5c8e6b-1823-4088-8ff9-3a6185eece5e","138676","","Rhipidura","albolimbata","albolimbata","145.1983333333","-5.7625","2016-04-12"
"7bfb7832-9e88-4d69-9486-1ff0f23f7b0d","138677","","Rhipidura","albolimbata","albolimbata","145.1505555556","-5.8158333333","2016-04-08"
"f653922e-b449-42e0-943e-bf41840a41e0","138678","","Rhipidura","albolimbata","albolimbata","145.1983333333","-5.7625","2016-04-11"
"846c88b0-a1be-435e-8148-0136db07b27e","138679","","Rhipidura","albolimbata","albolimbata","145.1505555556","-5.8158333333","2016-04-08"
"582bfee1-3a7b-4a1c-a9f3-6a4993c1c024","138680","","Rhipidura","brachyrhyncha","devisi","145.1505555556","-5.8158333333","2016-04-08"
"7e912907-8621-4be3-ab30-a71fc2d86b24","138681","","Rhipidura","brachyrhyncha","devisi","145.1505555556","-5.8158333333","2016-04-11"
"fb0fab98-7eae-4993-95b7-e06eda2e291c","138682","","Melanocharis","nigra","unicolor","145.2713888889","-5.7216666667","2016-04-12"
"fc4d0c6c-d249-45ce-92eb-0371edb49c7d","138683","","Melanocharis","nigra","unicolor","145.2713888889","-5.7216666667","2016-04-12"
"107e1f2c-585e-4b7d-8b54-ea8b6c9083c2","138684","","Melanocharis","nigra","unicolor","145.2713888889","-5.7216666667","2016-04-12"
